City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Hyderabad,2019,Volkswagen,Polo,Petrol,Manual,565000,1st owner,"EMI ₹11,043/m","₹11,043"
Hyderabad,2023,Tata,Tiago,Petrol,Manual,640000,1st owner,"EMI ₹12,510/m","₹12,510"
Hyderabad,2022,KIA,CARENS,Petrol,Manual,1161000,1st owner,"EMI ₹22,101/m","₹22,101"
Nashik,2014,Hyundai,i20,Petrol,Manual,430000,1st owner,"EMI ₹11,324/m","₹11,324"
Nashik,2013,Maruti,Ertiga,Diesel,Manual,675000,1st owner,"EMI ₹31,775/m","₹31,775"
Nashik,2015,Hyundai,Xcent,Petrol,Manual,420000,1st owner,"EMI ₹9,343/m","₹9,343"
Nashik,2013,Maruti,Ertiga,Diesel,Manual,650000,1st owner,"EMI ₹30,598/m","₹30,598"
Nashik,2014,Hyundai,Xcent,Petrol,Manual,398000,1st owner,"EMI ₹10,477/m","₹10,477"
Nashik,2014,Hyundai,Xcent,Petrol,Manual,391000,2nd owner,"EMI ₹10,297/m","₹10,297"
Nashik,2013,Maruti,Ertiga,CNG,Manual,625000,1st owner,"EMI ₹55,530/m","₹55,530"
Nashik,2014,Maruti,Wagon,Petrol,Manual,345000,1st owner,"EMI ₹9,088/m","₹9,088"
Nashik,2022,Tata,NEXON,Diesel,Auto,1350000,1st owner,"EMI ₹25,696/m","₹25,696"
Nashik,2014,Maruti,Wagon,Petrol,Manual,350000,1st owner,"EMI ₹9,217/m","₹9,217"
Nashik,2024,Nissan,MAGNITE,Petrol,Manual,650000,1st owner,"EMI ₹12,708/m","₹12,708"
Nashik,2015,Honda,Amaze,Petrol,Manual,450000,1st owner,"EMI ₹10,010/m","₹10,010"
Nashik,2024,Hyundai,VENUE,Petrol,Manual,795000,1st owner,"EMI ₹15,542/m","₹15,542"
Nashik,2010,Maruti,Zen,Petrol,Manual,64000,2nd owner,,₹0.90L
Nashik,2014,Skoda,Rapid,Diesel,Manual,471000,1st owner,"EMI ₹15,644/m","₹15,644"
Nashik,2014,Maruti,Swift,Diesel,Manual,495000,1st owner,"EMI ₹16,441/m","₹16,441"
Nashik,2015,Maruti,Ciaz,Diesel,Manual,640000,1st owner,"EMI ₹16,854/m","₹16,854"
Nashik,2013,Hyundai,i10,Petrol,Manual,335000,1st owner,"EMI ₹11,127/m","₹11,127"
Nashik,2014,Volkswagen,Vento,Diesel,Manual,550000,2nd owner,"EMI ₹18,268/m","₹18,268"
Nashik,2013,Honda,Amaze,Petrol,Manual,351000,1st owner,"EMI ₹11,658/m","₹11,658"
Indore,2022,Honda,City,Petrol,Manual,971000,1st owner,"EMI ₹18,483/m","₹18,483"
Indore,2021,Maruti,Baleno,Petrol,Manual,451000,2nd owner,"EMI ₹8,817/m","₹8,817"
Indore,2017,Honda,City,Petrol,Manual,542000,1st owner,"EMI ₹10,596/m","₹10,596"
Indore,2019,Hyundai,GRAND,CNG,Auto,476999,1st owner,"EMI ₹9,325/m","₹9,325"
Indore,2022,Tata,PUNCH,Petrol,Manual,652000,1st owner,"EMI ₹12,747/m","₹12,747"
Indore,2013,Hyundai,i20,Petrol,Manual,240000,2nd owner,"EMI ₹7,971/m","₹7,971"
Indore,2014,Maruti,Alto,Petrol,Manual,183000,2nd owner,"EMI ₹4,819/m","₹4,819"
Indore,2021,Tata,ALTROZ,Diesel,Manual,568000,1st owner,"EMI ₹11,105/m","₹11,105"
Indore,2020,Tata,Harrier,Diesel,Manual,1032000,1st owner,"EMI ₹19,643/m","₹19,643"
Indore,2016,Hyundai,Grand,Petrol,Manual,355000,1st owner,"EMI ₹6,940/m","₹6,940"
Indore,2019,Datsun,Redi,Petrol,Manual,193000,2nd owner,"EMI ₹3,773/m","₹3,773"
Indore,2018,Ford,FREESTYLE,Diesel,Manual,465000,2nd owner,"EMI ₹9,091/m","₹9,091"
Indore,2019,Maruti,Baleno,Petrol,Manual,497000,1st owner,"EMI ₹9,716/m","₹9,716"
Indore,2019,Renault,Kwid,Petrol,Manual,271000,2nd owner,"EMI ₹5,298/m","₹5,298"
Indore,2021,Hyundai,VENUE,Petrol,Manual,660000,1st owner,"EMI ₹12,903/m","₹12,903"
Indore,2016,Hyundai,Xcent,Petrol,Manual,325000,2nd owner,"EMI ₹6,354/m","₹6,354"
Indore,2021,Maruti,S,Petrol,Manual,329000,2nd owner,"EMI ₹6,427/m","₹6,427"
Indore,2017,Mahindra,Kuv100,Petrol,Manual,312000,1st owner,"EMI ₹6,100/m","₹6,100"
Indore,2022,KIA,SELTOS,Petrol,Manual,915000,1st owner,"EMI ₹17,416/m","₹17,416"
Indore,2021,Tata,ALTROZ,Petrol,Manual,555000,1st owner,"EMI ₹10,850/m","₹10,850"
Noida,2022,Tata,Safari,Diesel,Manual,1563000,1st owner,"EMI ₹29,755/m","₹29,755"
Noida,2021,MG,HECTOR,Petrol,Manual,968000,1st owner,"EMI ₹18,426/m","₹18,426"
