City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price,KM_Representation,Car_Age,Price_per_KM,Price_Category
Hyderabad,2019,Volkswagen,Polo,Petrol,Manual,565000.0,1St Owner,11043.0,11043.0,L,6,0.02,Budget
Hyderabad,2023,Tata,Tiago,Petrol,Manual,640000.0,1St Owner,12510.0,12510.0,L,2,0.02,Budget
Hyderabad,2022,Kia,Carens,Petrol,Manual,1161000.0,1St Owner,22101.0,22101.0,L,3,0.02,Budget
Nashik,2014,Hyundai,I20,Petrol,Manual,430000.0,1St Owner,11324.0,11324.0,L,11,0.03,Budget
Nashik,2013,Maruti,Ertiga,Diesel,Manual,675000.0,1St Owner,31775.0,31775.0,L,12,0.05,Budget
Nashik,2015,Hyundai,Xcent,Petrol,Manual,420000.0,1St Owner,9343.0,9343.0,L,10,0.02,Budget
Nashik,2013,Maruti,Ertiga,Diesel,Manual,650000.0,1St Owner,30598.0,30598.0,L,12,0.05,Budget
Nashik,2014,Hyundai,Xcent,Petrol,Manual,398000.0,1St Owner,10477.0,10477.0,L,11,0.03,Budget
Nashik,2014,Hyundai,Xcent,Petrol,Manual,391000.0,2Nd Owner,10297.0,10297.0,L,11,0.03,Budget
Nashik,2013,Maruti,Ertiga,Cng,Manual,625000.0,1St Owner,55530.0,55530.0,L,12,0.09,Budget
Nashik,2014,Maruti,Wagon,Petrol,Manual,345000.0,1St Owner,9088.0,9088.0,L,11,0.03,Budget
Nashik,2022,Tata,Nexon,Diesel,Auto,1350000.0,1St Owner,25696.0,25696.0,L,3,0.02,Budget
Nashik,2014,Maruti,Wagon,Petrol,Manual,350000.0,1St Owner,9217.0,9217.0,L,11,0.03,Budget
Nashik,2024,Nissan,Magnite,Petrol,Manual,650000.0,1St Owner,12708.0,12708.0,L,1,0.02,Budget
Nashik,2015,Honda,Amaze,Petrol,Manual,450000.0,1St Owner,10010.0,10010.0,L,10,0.02,Budget
Nashik,2024,Hyundai,Venue,Petrol,Manual,795000.0,1St Owner,15542.0,15542.0,L,1,0.02,Budget
Nashik,2010,Maruti,Zen,Petrol,Manual,64000.0,2Nd Owner,10889.0,90000.0,K,15,1.41,Budget
Nashik,2014,Skoda,Rapid,Diesel,Manual,471000.0,1St Owner,15644.0,15644.0,L,11,0.03,Budget
Nashik,2014,Maruti,Swift,Diesel,Manual,495000.0,1St Owner,16441.0,16441.0,L,11,0.03,Budget
Nashik,2015,Maruti,Ciaz,Diesel,Manual,640000.0,1St Owner,16854.0,16854.0,L,10,0.03,Budget
Nashik,2013,Hyundai,I10,Petrol,Manual,335000.0,1St Owner,11127.0,11127.0,L,12,0.03,Budget
Nashik,2014,Volkswagen,Vento,Diesel,Manual,550000.0,2Nd Owner,18268.0,18268.0,L,11,0.03,Budget
Nashik,2013,Honda,Amaze,Petrol,Manual,351000.0,1St Owner,11658.0,11658.0,L,12,0.03,Budget
Indore,2022,Honda,City,Petrol,Manual,971000.0,1St Owner,18483.0,18483.0,L,3,0.02,Budget
Indore,2021,Maruti,Baleno,Petrol,Manual,451000.0,2Nd Owner,8817.0,8817.0,L,4,0.02,Budget
Indore,2017,Honda,City,Petrol,Manual,542000.0,1St Owner,10596.0,10596.0,L,8,0.02,Budget
Indore,2019,Hyundai,Grand,Cng,Auto,476999.0,1St Owner,9325.0,9325.0,L,6,0.02,Budget
Indore,2022,Tata,Punch,Petrol,Manual,652000.0,1St Owner,12747.0,12747.0,L,3,0.02,Budget
Indore,2013,Hyundai,I20,Petrol,Manual,240000.0,2Nd Owner,7971.0,7971.0,L,12,0.03,Budget
Indore,2014,Maruti,Alto,Petrol,Manual,183000.0,2Nd Owner,4819.0,4819.0,L,11,0.03,Budget
